"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","8016"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","A. Employers and managers","All persons aged 15 years and over","Number","1128"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","A. Employers and managers","Persons at work","Number","148"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","A. Employers and managers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","976"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","B. Higher professional","All persons aged 15 years and over","Number","681"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","B. Higher professional","Persons at work","Number","127"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","B. Higher professional","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","B. Higher professional","All persons aged 15 years and over not in labour force","Number","553"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","C. Lower professional","All persons aged 15 years and over","Number","1397"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","C. Lower professional","Persons at work","Number","90"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","C. Lower professional","All unemployed persons","Number","3"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","C. Lower professional","All persons aged 15 years and over not in labour force","Number","1304"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","D. Non-manual","All persons aged 15 years and over","Number","1577"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","D. Non-manual","Persons at work","Number","116"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","D. Non-manual","All unemployed persons","Number","13"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","D. Non-manual","All persons aged 15 years and over not in labour force","Number","1448"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","E. Manual skilled","All persons aged 15 years and over","Number","582"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","E. Manual skilled","Persons at work","Number","33"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","E. Manual skilled","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","549"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","F. Semi-skilled","All persons aged 15 years and over","Number","421"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","F. Semi-skilled","Persons at work","Number","44"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","F. Semi-skilled","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","371"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","G. Unskilled","All persons aged 15 years and over","Number","321"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","G. Unskilled","Persons at work","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","G. Unskilled","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","G. Unskilled","All persons aged 15 years and over not in labour force","Number","296"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","H. Own account workers","All persons aged 15 years and over","Number","374"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","H. Own account workers","Persons at work","Number","106"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","H. Own account workers","All unemployed persons","Number","4"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","H. Own account workers","All persons aged 15 years and over not in labour force","Number","264"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","I. Farmers","All persons aged 15 years and over","Number","139"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","I. Farmers","Persons at work","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","I. Farmers","All unemployed persons","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","I. Farmers","All persons aged 15 years and over not in labour force","Number","119"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","J. Agricultural workers","All persons aged 15 years and over","Number","10"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","J. Agricultural workers","Persons at work","Number","1"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","J. Agricultural workers","All unemployed persons","Number","0"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","2218"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","Z. All others gainfully occupied and unknown","Persons at work","Number","72"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","Z. All others gainfully occupied and unknown","All unemployed persons","Number","19"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway City","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","2127"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","All socio-economic groups","All persons aged 15 years and over","Number","26058"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","All socio-economic groups","Persons at work","Number","3031"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","All socio-economic groups","All unemployed persons","Number","218"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","22809"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","A. Employers and managers","All persons aged 15 years and over","Number","2092"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","A. Employers and managers","Persons at work","Number","344"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","A. Employers and managers","All unemployed persons","Number","8"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1740"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","B. Higher professional","All persons aged 15 years and over","Number","898"
"Population Aged 15 Years and Over 2011 to 2016","2016","65 years and over","Galway County","B. Higher professional","Persons at work","Number","177"
